id,collection,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.editor,dc.contributor.editor[],dc.date.copyright[],dc.date.issued,dc.date.issued[],dc.date.issued[en],dc.date[],dc.description.abstract[],dc.description.abstract[en],dc.description[en],dc.identifier.citation[en],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher[en],dc.rights.uri,dc.rights.uri[],dc.rights[en],dc.subject[en],dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en]
"16207","10092/11654",,"Kolozova, Katerina",,,,,,,"2017",,,"The new forms of feminist realism and materialism could have significant political ramifications that should be owned by feminist scholars and activists as a way to create new possibilities for an internationalist political language and action that would be geographically, economically and in terms of nation-state politics as varied and as multi-centered as possible. Such a new universalism must emerge at the economic and academic margins, move concentrically toward the center seeking to provide the grounds for uncompromising comradeship worldwide. The universe it will establish is one in which power will be measured in materialist or realist terms and its chief categories will also be the most robust ones: economy and the power of the nation-state as the main means of women’s subjugation.",,,,,"http://hdl.handle.net/10092/13482",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","realism, materialism, universalism, feminism, socialism, non-philosophy",,"New Realisms, Materialisms, (Post-)Philosophy and the Possibility for a Feminist Internationalism",,,"Journal Article"
"16222","10092/11654",,"Thomas, Nicol",,,,,,,"2017",,,"The question “what does a woman want?” has been asked by psychoanalysts in the past—particularly by Freud and Lacan—and is a question that has been taken up by feminist scholarship and epistemology. This essay addresses this complex question via both feminist research and enquiry and a Lacanian psychoanalytic praxis. The issue of women’s very speech is crucial, which is a cornerstone element of the feminisms of Spender, Steinem, Hanisch, Irigaray, Cixous, Felski, Jane and Ford. Lacan makes the point that feminine jouissance stands outside the phallic order and thus must be incorporated in the psychoanalytic consideration of what is the sexed position, woman. This essay argues that Lacan’s psychoanalytic considerations have great political and practical import for contemporary feminist practices and epistemology, via the positioning of women’s very speech outside of—but apposite to—a provably violent misogynistic patriarchy.",,,,,"http://hdl.handle.net/10092/13495",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Anxiety, Biological Essentialism, Discourse, Feminine Jouissance Feminist Epistemology, Ethics and Praxis, Hegemonic Patriarchal Phallic Position, Hyper-Capitalism, Lacan, Patriarchy, Perverse Ideology, Phallic Order",,"Nasty Feminism, Nasty Feminists",,,"Journal Article"
"16215","10092/11654",,"McKay, Niall",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13490",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Book Review - An Insurrectionist Manifesto: Four New Gospels for a Radical Politics by Blanton, Ward, Clayton Crockett, Jeffrey W. Robbins, and Noëlle Vahanian",,,"Journal Article"
"15878","10092/11654",,"Krier, Daniel",,,,,,,"2017",,,"Economic theologies are systems of religiously legitimated beliefs and practices that align value (in Marx&rsquo;s sense) with values (in broad anthropological usage). This article outlines the place of debt and the credit system in the economic theologies of four ideal-typical variants of capitalism: Catholicism- Anglicanism, Calvinism-Puritanism, Pietism-Quakerism, and Free-Grace Evangelism. At the threshold of capitalist modernity, the economic theology of Catholicism-Anglicanism interwove debts into prevailing systems of status honor that maintained aristocratic boundaries for elites while forcing contenders into displays of sacrificial virtue. Calvinism-Puritanism sanctioned profit-seeking through rational assumption of risk in the credit system as a necessary ethicalduty to prove salvation. Pietism-Quakerism warranted a rational credit system as a communitarian means to foster pious enterprise and to ease the worldly burdens of believers. Free-Grace Evangelism encouraged the assumption of debt for get-rich-quick-ventures and speculative trading in the frothy credit markets of charismatic capitalism. Contemporary (global) capital has breached the geographic boundaries and moral vacuums that separated these economic theologies, engendering a monstrous accumulation of debt in hybridized form. Critical theories of economic theology reveal how debt and other forms of fictitious capital are supported by a complex, contradictory social imaginary whose dynamics generate openings for progressive change.",,,,,"http://hdl.handle.net/10092/13076",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","economic theology, economic ethics, religion, debt, sacrifice, asceticism, speculation, ideology",,"Debt, Value and Economic Theology","Journal Articles",,
"15879","10092/11654",,"Mulaj, Jeta",,,,,,,"2017",,,"Exploring the phantom-like objectivity of exchange-value, this paper seeks to analyze the ways in which capitalist exchange relations conceal theft, violence, and exploitation. This paper begins with a critical analysis of Marx&rsquo;s account of the phantom-like objectivity of exchange-value. Then, the paper elucidates the exchange between the worker and capital as an exchange of non-equivalents, while exploring the ways in which exchange-relations and the wage system conceal unpaid labour inside and outside the working day. Finally, drawing on the work of Silvia Federici and Massimo De Angelis, I argue that exchange-value and the wage system conceal violence and exploitation on at least three levels: unpaid surplus-labour, unpaid reproductive labour, and the permanence of primitive accumulation.",,,,,"http://hdl.handle.net/10092/13077",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Exchange-value, primitive accumulation, surplus-value, Marx, Silvia Federici",,"Exchange-Value and the Concealment of Theft and Violence","Journal Articles",,
"15882","10092/11654",,"Pavón-Cuéllar, David",,,,,,,"2017",,,"This paper examines four different approaches to the historic debt that developed countries owe to underdeveloped countries. It is shown how this debt has been disregarded by the cultural explanations of underdevelopment; how it was explained and condemned by Andre Gunder Frank, Ruy Mauro Marini, Theotonio dos Santos and other exponents of dependency theory; how it has been negated by the right-wing French intellectuals Max Gallo, Daniel Lefeuvre and Pascal Bruckner; and how it can still be recognized and problematized following Jacques Lacan&rsquo;s ideas. The Lacanian theory, together with Alain Badiou&rsquo;s critique of Sarkozism, is also used to criticize the denial of the debt by Gallo, Lefeuvre and Bruckner.",,,,,"http://hdl.handle.net/10092/13080",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Historic debt, underdevelopment, colonialism, capitalism, Sarkozism, dependency theory, Jacques Lacan, Alain Badiou",,"The Indebted Creditors: Colonialism, Underdevelopment and the Invaluable Value of the Historic Debt","Journal Articles",,
"15883","10092/11654",,"Worrell, Mark",,,,,,,"2017",,,"The sociological nature of value (from a general or symbolic economic perspective) is explored with an eye toward comprehending the riddle of US debt and how debt functions as imperial tribute in the waning days of US global hegemony.",,,,,"http://hdl.handle.net/10092/13081",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","value theory, Marxism, general economy, imperialism, debt, tribute",,"Value and Debt","Journal Articles",,
"15888","10092/11654",,"Stolze, Ted",,,,,,,"2017",,,"My focus is on the Biblical prophetic warning about, and solution to, severe debt injustice &ndash; whether individual or collective. I seek to demonstrate the New Testament&rsquo;s continuity with the Jubilee theme of economic justice and debt cancellation laid out in the Hebrew Scriptures. In particular, I argue that Paul of Tarsus well understood the economic difficulties faced by wage laborers in the first-century Roman Empire and the all-too-real possibility of debt bondage, and &ndash; through his collection &ldquo;for the poor among the consecrated at Jerusalem&rdquo; &ndash; devised a creative means to reclaim the Biblical tradition of debt cancellation. In short, Paul envisioned what we could call a &ldquo;gift economy&rdquo; based not only on mutuality but also, and especially, on addressing the needs of the weak, vulnerable, and poor.",,,,,"http://hdl.handle.net/10092/13086",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Paul of Tarsus, Marx and the Bible, Debt, Debt Cancellation, Jubilee, Gift Economy",,"Paul’s Gift Economy: Wages, Debt, and Debt Cancellation","Journal Articles",,
"15889","10092/11654",,"Richards, Serene",,,,,,,"2017",,,"This paper demonstrates that the logic of debt is founded on an infinite task, amounting to a process of continual repayment with never an end in sight. This infinite task expresses as its inner contradiction: &ldquo;borrow, spend, and be guilty.&rdquo; Through the formula &ldquo;I promise to pay the bearer on demand the sum of&hellip;&rdquo;, inscribed on every banknote in the UK, I show how the juridico-political apparatuses function to maintain the force of the utterance. Through Agamben&rsquo;s archeology of the oath, I show how the &lsquo;I promise&rsquo; functions as a performative speech act, that ultimately acts as a commandment, or an order-word. Therefore, the notion of debt can only be conceptualised as that which is constituted by the force of language, which is simultaneously reliant on a secondary threat of physical force in order to maintain the primary force of the utterance. The incorporeal transformation that results from this renders each of us perpetually indebted persons.",,,,,"http://hdl.handle.net/10092/13087",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Agamben, Debt, Promise, Oath, Speech Act, Deleuze, Order Word, Force of Language, Commandment",,"Debt, à la Lettre: The Promise of Debt and the Duty of the Indebted","Journal Articles",,
"15890","10092/11654",,"Gorelick, Nathan",,,,,,,"2017",,,"Drawing from Jean Baudrillard&rsquo;s critique of the National Debt Clock at Times square, Georges Bataille&rsquo;s The Accursed Share, and David Foster Wallace&rsquo;s novel Infinite Jest, this paper examines those material concretions of the debt economy for which it can find no use, to which it assigns no value, and that its fantasy of a future of infinite growth leaves behind in the accumulating wastes of the present. Expanding on Baudrillard&rsquo;s critique, the paper argues that the engine of neoliberal capitalism is a trade in abstract negativity that obfuscates its catastrophic consequences for both marginalized populations and the global environment. In this context, the task of criticism thus is not to enumerate political prescriptions for the immediate alleviation of the present and ongoing catastrophe but to advance an ethical sensibility that can situate what Bataille calls the &ldquo;restrictive economy&rdquo; of debt within a &ldquo;general economy&rdquo; that emphasizes expenditure over accumulation. Wallace&rsquo;s novel provides a literary frame in which to imagine such an ethics by suggesting that the first step toward addressing the end of the world is to assume responsibility for the excesses of consumerist desire, that is, to realign our attention away from the debt&rsquo;s abstract negativity and toward the mounting trash heap that literally and symbolically obscures the possibility of another future",,,,,"http://hdl.handle.net/10092/13088",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Debt, Garbage, neoliberalism, Baudrillard, Bataille, Infinite Jest, Environment, Psychoanalysis",,"The Real (of) Debt: Notes Toward an Ethics of Trash","Journal Articles",,
"15891","10092/11654",,"Gabbard, David",,,,,,,"2017",,,"The one on a one-dollar bill signifies a quantitive measure of that one&rsquo;s symbolic energy &ndash; what we would normally call its value. In the absence of energy, life cannot form. Just as nature abhors a vacuum, we learn to abhor a debt. This understanding of value and debt informs the larger framework of analysis used to examine the seemingly never ending U.S. Presidential campaign of 2016. While many argue that Hillary Clinton represented the maintenance of the status quo, this paper points to evidence supporting a different conclusion. In the first place, to what status quo could they be referring? Second of all, as I argue here, a Clinton presidency would have signaled a coup of sorts. As WikiLeaks summarized it: &ldquo;There is no election. There is power consolidation.&rdquo; With the U.S. executive brought into the consolidation of and around energy, what has become the status quo in Syria would have intensified and WWIII would have been unavoidable.",,,,,"http://hdl.handle.net/10092/13089",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","value, debt, energy, economy of energy flows, Hillary Clinton, Saudi Arabia, Quatar, TPP, JASTA, 9/11, Slavoj Žižek, Syria, WikiLeaks, Julian Assange",,"Consolidated Energy: Hillary Clinton and the 2016 U.S. Presidential Campaign","Journal Articles",,
"15877","10092/11654",,,,,,,,,"2017",,,"Economic theologies are systems of religiously legitimated beliefs and practices that align value (in Marx&rsquo;s sense) with values (in broad anthropological usage). This article outlines the place of debt and the credit system in the economic theologies of four ideal-typical variants of capitalism: Catholicism- Anglicanism, Calvinism-Puritanism, Pietism-Quakerism, and Free-Grace Evangelism. At the threshold of capitalist modernity, the economic theology of Catholicism-Anglicanism interwove debts into prevailing systems of status honor that maintained aristocratic boundaries for elites while forcing contenders into displays of sacrificial virtue. Calvinism-Puritanism sanctioned profit-seeking through rational assumption of risk in the credit system as a necessary ethicalduty to prove salvation. Pietism-Quakerism warranted a rational credit system as a communitarian means to foster pious enterprise and to ease the worldly burdens of believers. Free-Grace Evangelism encouraged the assumption of debt for get-rich-quick-ventures and speculative trading in the frothy credit markets of charismatic capitalism. Contemporary (global) capital has breached the geographic boundaries and moral vacuums that separated these economic theologies, engendering a monstrous accumulation of debt in hybridized form. Critical theories of economic theology reveal how debt and other forms of fictitious capital are supported by a complex, contradictory social imaginary whose dynamics generate openings for progressive change",,,,,"http://hdl.handle.net/10092/13075",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","economic theology, economic ethics, religion, debt, sacrifice, asceticism, speculation, ideology",,"Debt, Value and Economic Theology","Journal Articles",,
"15880","10092/11654",,"Boer, Roland",,,,,,,"2017",,,"This article situates the recent calls for debt remission, or Jubilee, in terms of the history of debt. It goes back to ancient Southwest Asia (and Rome), where we find three functions of debt. It was primarily a means for securing labour of the context of a chronic shortage of labour. Its secondary features included the flow of wealth to the lender and the securing of class differences. However, we need to distinguish debt from credit, since the two are often assumed to be part of the same structure. While debt was extractive, credit was allocative. It relied on a mutual system of knowing interaction among village communities. With these distinctions in mind, it is possible to return to the question of remission or amelioration. On this matter, I argue that such amelioration was only partial and targeted, functioning as a safety valve for an economic system facing crisis. It was also the opportunity for significant political spin, and did little to alleviate the actual problems. The article closes by considering the implications for today",,,,,"http://hdl.handle.net/10092/13078",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","debt, credit, ancient Southwest Asia, Jubilee",,"Reconsidering Debt Remission in Light of the Ancient World","Journal Articles",,
"15881","10092/11654",,"Goodchild, Philip",,,,,,,"2017",,,"The pursuit of self-interest can lead to market failure when there is a lack of trust. Where Hume and Nietzsche located the origin of trust in the capacity to make promises - debts conceived in terms of values &ndash; this article explores the origins of modern distrust and its concomitant pursuit of selfinterest. Examining the market economies of the 16th and 17th centuries in England, one finds these were characterised by a shortage of coins so had to rely effectively on trust. Wealth consisted largely of &lsquo;credit&rsquo; or trustworthiness, for this was the basis for access to goods and services with a promise of later payment. As such, wealth was not a possession but a reputation, and the pursuit of reputation took precedence over the pursuit of possessions. Since default on a debt could easily spread by contagion, the basis for collective welfare was personal morality. The key question, then, is how this conception of credit came to be replaced by one equivalent to debt, given a precise value and time for repayment. It will be argued that in this context the best way to prove one&rsquo;s creditworthiness was to pay on time with the debt issued by a sound institution such as the Bank of England or the Exchequer. The financial revolution in England had the effect of turning the pursuit of &lsquo;credit&rsquo; into the pursuit of wealth, where debts assumed the money functions of means of payment, unit of account, and store of value. The result was a transformation of morality: pursuit of self-interest, in the form of an ability to pay in money, became the basis for personal morality, while money became the measure of value",,,,,"http://hdl.handle.net/10092/13079",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Value, debt, credit, money, trust, Friedrich Nietzsche, William Petty, financial revolution",,"On the Origins of Modern Debt and Value: Revisiting Friedrich Nietzsche and William Petty","Journal Articles",,
"15892","10092/11654",,"Or, Teja",,,,,,,"2017",,,"This paper examines the relation between debt, value and dignity in the context of the still present European Union debt crisis. It considers dignity as a human value and as a moral value. Dignity is namely closely related to a human value, dignity and (human) value or worth being synonymous, as well as the most important moral value for the European Union, as evidenced from the Treaty of Lisbon. It is stated that both in the contexts of labour and of debt, the contradictive elements necessity and freedom have a vital impact on human dignity, and thus also on human essence (or being) and value as the two essential ingredients of dignity. The argument of this paper is that value plays a key role for losing dignity or a loss of dignity both in the contexts of labour and of debt. Namely, in the context of labour what is critical is the value of things, and in the context of (public) debt what is critical is the value of debt, since both values are considered to be in a contraposition with the human value or the value of man (worker and debtor or rather &ldquo;debtor&rdquo;). It is thus reasoned that value held primarily in the interests of the economic market is counter to human value and human dignity; however, it is not also counter to moral value, as dignity is not just a human value but also a moral value. Namely, it is noticed that the role of the moral values is to mask the importance of such value held primarily in the interests of the economic market on the one side and the simultaneous unimportance of the human value on the other side. Thus, although the European Union publicly promotes both sides of value, the difference is that the value held primarily in the interests of the economic market is being promoted in actuality, whereas human value is being promoted only in words, first and foremost v&iacute;a statements of morality.",,,,,"http://hdl.handle.net/10092/13090",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","human dignity, human value/worth, moral value, (public) debt, labour, value of things, value of debt, European Union",,"Debt, Value and Dignity – as a Human Value and as a Moral Value","Journal Articles",,
"15884","10092/11654",,"Lotz, Christian",,,,,,,"2017",,,"In my paper I briefly examine three popular mystifications of the concept of capital, before I further argue that the concept of fetishism should be conceived of as a process of social forgetting. I argue that we are living in a fetishistic society insofar as fetishism is not only collective but also objective. However, I am not opening up totally new territory here, since, for example, Zizek argued that commodity fetishism is &ldquo;the unconscious of the commodity form,&rdquo; and Jameson expanded the idea of the objective quality of commodity fetishism towards what he calls the &ldquo;historical amnesia&rdquo; of consumer societies. However, I hope that my reflections can be seen as an extension of these positions in two important respects: first, they go beyond the concept of commodity and tie the concept of fetishism back to the concept of capital, and, second, they tie the problem of amnesia and fetishism back to Marx&rsquo;s method.",,,,,"http://hdl.handle.net/10092/13082",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Marx, commodity fetishism, capital, debt, abstraction",,"Fiction without Fantasy: Capital Fetishism as Objective Forgetting","Journal Articles",,
"15885","10092/11654",,"Phelps, Holliss",,,,,,,"2017",,,"This paper focuses on the way in which the student loan system in the United States functions as a means of value-generation via the creation of indebted students. In order to exhibit the way in which the student loan system functions in this manner, the first section focuses on the relationship between labor and value, by discussing Marx&rsquo;s analysis of labor-power and the generation of surplus value and Althusser&rsquo;s notion of Ideological State Apparatuses. For both Marx and Althusser, value-generation relates directly to labor, but this changes as we shift from disciplinary societies to what Deleuze calls societies of control, which is the subject of the second part of the paper. In control societies, value is not just generated piecemeal, via labor, but permanently, via debt. Drawing on the work of Lazzarato and Serres, the third section folds the student loan system into this framework, showing how it functions immanently and parasitically on students to generate value outside of the sphere of work. The conclusion suggests that, despite its ubiquity, such indebtedness can also function as a locus for struggle.",,,,,"http://hdl.handle.net/10092/13083",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","debt, student loans, Marx, Althusser, Deleuze, Lazzarato, Serres, Higher Education Act of 1965, societies of control, debt resistance",,"Parasites on Unwilling Hosts: Student Loan Debt and the Generation of Value","Journal Articles",,
