id,collection,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.editor[],dc.date.issued[en],dc.description.abstract[en],dc.description[en],dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.language[],dc.publisher[],dc.publisher[en],dc.rights.uri[],dc.rights[en],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject[en],dc.title.alternative[en],dc.title[en],dc.type,dc.type[en],thesis.degree.discipline[en],thesis.degree.grantor[en],thesis.degree.level[en],thesis.degree.name[en],uc.college[en],uc.email[en],uc.number[],uc.publicationid[]
"16902","10092/13758",,"Burn, Courtney",,,"2015","Primary productivity is an essential part of all ecosystems. Primary producers are
important for starting the carbon cycle. In areas such as the Antarctic which is
known to face climate changes, understanding how these changes will effect
primary producers is of high importance. Wider ecosystem effects also needed
to be considered. The main primary producer in sea ice communities is sea ice
algae. Dramatic cooling or warming events will result in changes in sea ice
extent. These changes could potentially have negative effects on sea ice algae
populations and the wider marine ecosystem. More work is needed to fully
predict the potential effects of Antarctic warming and cooling on the wider
marine ecosystem",,,,,,,"http://hdl.handle.net/10092/13847",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Sea ice algae no more?",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16915","10092/13758",,"Brundin, Hanna",,,"2014","Due to climate change, the fishing industry, tourism and resource extraction Antarctica has become
and increasingly more common topic in mass media around the world. Despite this, and the
importance given to mass media in terms of impact on public awareness and policy making, little is
known about how Antarctic issues are portrayed and its influence on the public arena.
This essay looks at how four newspapers in the UK and the US portray Antarctica by comparing a
sample test with existing literature on quantitative journalistic norms and values. It also compares
the results with the findings of studies made on the relationship between climate change coverage
and its influence on public knowledge.
There is a consensus that the general public lacks knowledge and interest in Antarctic issues,
however, this assumption has no statistical evidence to back it up. This essay demonstrate that there
is a possibility that the general public is uninformed, only has superficial knowledge about Antarctic
issues or simply doesn't consider them to be important. But, it stresses that the need and urgency for
further, in depth studies are crucial to our understanding of medias influence on the knowledge of
the general public.",,,,,,,"http://hdl.handle.net/10092/13860",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Prince Harry and other surface issues: Antarctic issues in UK and US newspapers",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16920","10092/13758",,"Kiley, Heather",,,"2014","Climate change effects are already being observed in some regions of the Southern Ocean,
where reduced duration and extent of winter sea-ice, ocean warming and ocean acidification
threaten the survival of Antarctic krill. This species is critical to the Antarctic ecosystem,
where most marine mammal and bird species depend on it as a food source. Whilst there may
be some positive effects from the impacts of climate change, their combined effect is likely to
be negative and threaten the life cycle and distribution of krill.
Long term studies in the southwest Atlantic have linked decreased krill abundance with
reduced coverage of winter sea-ice. The Southern Ocean is particularly vulnerable to ocean
acidification, which is likely to disrupt the hatching success of krill larvae, and ocean
warming may have implications for the range and distribution of krill populations. Recorded
catch levels in the krill fishery have also seen recent increases, and fishing pressure coupled
with climate change implications may place the future of Antarctic krill in jeopardy.
This review will examine current predicted climate change effects and their potential impacts
on krill, and whether the combined pressures of increased fishing and a changing
environment in the Southern Ocean are effectively managed within the current CCAMLR
framework.",,,,,,,"http://hdl.handle.net/10092/13865",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Climate change effects and the future for Antarctic krill",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16921","10092/13758",,"McLean, Lydia",,,"2014","The Ross Sea is the most productive area of ocean in Antarctica, yet it is
vulnerable to the effects of climate change. An increase in Southern Annular
Mode wind cycles has resulted in oceanographic changes including increased
sea ice and enhancement of the Ross Sea polynya. The change in sea ice
affects timing of phytoplankton blooms and proportions of species of primary
producers in the ecosystem, with a possible favouring of the algal species
Phaeocystis antarctica. This may lead to further changes in the ecosystem,
including altered biogeochemical cycling, and an altered food web, due to the
fact that P. antarctica is relatively inedible compared to other primary
producers. The effects of the change in phytoplankton blooms in the Ross
Sea community may lead to alteration of the food web, right through to top
level predators.",,,,,,,"http://hdl.handle.net/10092/13866",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Literature review: The effects of climate change on Ross Sea primary production and flow on effects to food webs.",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16927","10092/13758",,"Vanderhaven, Beth",,,"2014","Scientific whaling in the Southern Ocean has been a topical issue through scientific,
political, economic, cultural and ethical aspects. Scientific whaling began after the
International Whaling Commission (IWC) announced the moratorium on commercial
whaling. Many of the main objections and campaigns against the Japanese scientific
whaling in the Southern Ocean are related to the Japanese agenda behind their research.
This critical review evaluates the four main aspects and their evidence towards the
Japanese agenda. There is no significant scientific certainty that the agenda for the
Japanese scientific whaling is one to eventually re-establish commercial whaling. Future
research is needed to be undertaken by concerned nations to solidify the research being
produced and allow management decisions to be made with greater knowledge and
evidence.",,,,,,,"http://hdl.handle.net/10092/13872",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"To whale or not to whale, that is the question",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16923","10092/13758",,"Patterson, Mary",,,"2014","Antarctica and its isolation relies heavily upon aviation for accessibility. For
accessibility to, and scientific and artistic advancement of the Continent. The
rapidly changing extreme weather, which creates environmental in-hostility and
inaccessibility give rise to aviation presenting as a challenge in Antarctica. With
this challenge come risks from an already high-risk mode of transport. This
literature review examines aviation accidents in Antarctica from both the fixed
wing and helicopter data. This data is presented in a Table format, from the first
accident on 15 March 1929, up to 4th December 2013.
The review answers the following dimensions. Firstly the spatial dimension;
where do accidents occur commonly and why? Secondly the causal dimension;
what are the main reasons behind aviation accidents? Thirdly the impact
dimension, the environmental, political, economic and socio-cultural
consequences of accidents. Finally, examination of the temporal dimension, thru
asking; has aviation has become safer over time?
The review is introduced with a brief contextual historical overview of Aviation.
Followed by the International Geophysical Year-IGY, and its significance to
Aviation. The tabulated aviation accident data follows; this is structured in pre
International Geophysical Year (IGY), IGY and post IGY. Discussion of dimensions
followed by conclusions complete the review.",,,,,,,"http://hdl.handle.net/10092/13868",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"AVIATION ACCIDENTS in ANTARCTICA -A review of literature and examination of dimensions.",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16925","10092/13758",,"Schwalger-Smith, Briar",,,"2014","Increasing anthropogenic carbon dioxide in the atmosphere decreases the pH
of the ocean and the carbonate ion concentration. Colder temperatures and
winds causing the upwelling of deep sea water are two factors that will
increase the rate of ocean acidification in the Southern Ocean, relative to
lower latitudes. Pteropods and krill are both important species in Antarctic
ecosystems and this review outlines the current understanding of how they are
affected by projected changes to ocean chemistry. All species of thecosomata
(shelled pteropod) experienced degrees of shell dissolution as a result of ocean
acidification and aragonite undersaturation. Other physiological factors and
survival rate varied between pteropod species but predominately showed a
negative impact. Aragonite undersaturation is projected to occur in the
Southern Ocean by 2050 and by 2030 in winter. The effects of ocean
acidification on pteropods have been more widely researched than the effects
on the key ecosystem species, krill. Increased carbon dioxide levels
detrimentally affected the hatch rate of krill eggs and population collapse is
projected for 2300, with severe and widespread consequence to the entire
ecosystem. This review highlights current gaps in the research and identifies
the urgent need for a more comprehensive understanding of the ecological
impacts of declining or disappearing pteropod and krill populations.",,,,,,,"http://hdl.handle.net/10092/13870",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Southern Ocean acidification and the effect on pteropods and krill",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"17038","10092/13758",,"Guy, Ruth",,,"2005","The food web in the Southern Ocean is unique among ocean systems in that it is characterised by the dependence largely of a single key species, the Antarctic Krill Euphausia Superba, (Faranda, 1995). Because E. Superba depend on the sea ice during their life cycle (Priddle 1988), it is important to gain an understanding of the effects of global Warming on Sea ice and therefore its impact on the whole Antarctic ecosystem.
Climate change is expected to have a profound influence on the Southern Ocean and therefore on the Ross Sea and its biodiversity. According to Kerry and Hempel (1990), in the next few thousand years the world will probable warm due to the greenhouse effect. They suggest that research is needed on the effects on organisms of rapid changes of the Antarctic ecosystem
There is a renewed interest in reviewing and advancing the existing knowledge of the Ross Sea biodiversity to evaluate the vulnerability of the Ross Sea and therefore provide better management. “The lack of knowledge of the biodiversity of the Ross Sea is creating significant management difficulties.” (Waterhouse 2001). “Although considerable data exist for the southern ocean, comparatively little information has been collected in the marine environment of the Ross Sea region' (Waterhouse 2001). Existing information on the biodiversity of the Ross Sea is scattered widely both here in New Zealand and internationally.
The literature on the Southern Ocean Zooplankton is dominated by studies on E. Superba the Antarctic krill, because of its large biomass, ecological importance and resource potential, (Knox 1983). Because krill has a central role in the Antarctic marine food web, this report will, review the history of krill research (in particular E. Superba), highlight current research being carried out and suggest directions for future research.",,,,,,,"http://hdl.handle.net/10092/13975",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"An overview of the history of Antarctic Krill research in the Southern Ocean in particular Euphausia Superba, and suggested directions for future research",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"17020","10092/13758",,"Ridley, Timothy",,,"2007","Global climate change is increasingly being recognised as key issue in the 21st century – and
one that it intimately entwined with the Antarctic. This paper reviews global climate
change discussion and science inside the context of the Antarctic Treaty System (ATS), and
particularly the Antarctic Treaty Consultative Meetings (ATCMs), since 2000.1
 It is hoped
that this review may highlight several aspects: firstly, document the development of
scientific evidence for global climate change; secondly, trace the broader acceptance of
global climate change inside the ATS; and thirdly observe the ATS bodies and members in
researching and managing climate change.
To achieve these goals, the analysis reviews papers submitted to the annual ATCMs
either as working papers or information papers since the year 2000. This method provides a
number of advantages: firstly, selecting papers from this source serves as a filter. It is
expected that information provided to the ATCMs are of significantly scientifically robust
and represent the best thinking on climate change at the time; secondly, there is
significant scope within this forum for adequate criticism of the papers; and thirdly, the
meetings occur annually which provides opportunity to track the progression of scientific
understanding as well as the broader acceptance of climate change in the ATS.
Additionally, to further develop the growth in scientific understanding of climate change,
the paper draws on scientific papers that are referenced in ATCM documents.
The paper opens by briefly introducing the Antarctica Treaty System so as to provide
context for the ATCMs. Having made this introduction, the paper recaps global climate
change understanding at the turn of the millennium before tracing developments in
scientific knowledge and understanding to the present. The paper concludes by presenting
key areas of current research around the International Polar Year (IPY) and noting trends
within the ATS over the period of analysis.",,,,,,,"http://hdl.handle.net/10092/13957",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Global climate change and the Antarctic Treaty system since 2000.",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"17028","10092/13758",,"Fortune, David",,,"2006","The Ross Dependency is a very interesting philatelic area as it has:
• probably the area of the first mails posted in the Antarctic ?
• the home of the first Antarctic Post Office (Cape Royds).
• the region with the first Antarctic stamps, issued by New Zealand in 1908 (New Zealand stamp
overprinted “King Edward V Land”) and 1911 (New Zealand overprinted “Victoria Land”).
• the first stamps to be used on the continent. [The next stamp to be used in the Antarctic was a
stamp issued by USA in 1933 (25 years after the first NZ issue) for Byrd’s expedition. This
was also available in continental USA and able to be used for postage in USA as well as in the
Antarctic. Following on 21-22 years later were the next Antarctic issues - by New Zealand
(Ross Dependency) and Australia (Australian Antarctic Territory) in 1957, and Falkland Island
Dependencies (Trans Antarctic Expedition) in 1956. The first other country to issue stamps
with an Antarctic theme was the Falkland Islands in 1929 (whales and penguins). 1
]
• stamps issued in 1957 for Ross Dependency celebrating the Trans Antarctic Expedition.
• a region with continuing issues of stamps until present the day.
• at present a Scott Base postmark which is used only in Christchurch.",,,,,,,"http://hdl.handle.net/10092/13965",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"The mails and stamps of Ross Dependency: up until the closure of the Scott Base Post Office in 1987",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"17019","10092/13758",,"McKellar, Alison",,,"2007","The Antarctic continent and Southern Ocean is often seen as the last great wilderness on
earth today. Many organizations and conventions have been set up to ensure its
protection. Conservation is a hot topic in current Antarctic work, research and meetings,
but this has not always been the case. Early travellers in Antarctica were focused on
exploration and discovery, they had little knowledge of the impact their travels would
have on the pristine environment. Whalers and sealers were not aware of the intensity
their activities were having on marine animal stocks within the Southern Ocean. Science
is the primary activity currently occurring in Antarctica, and scientists often feel they
have a minimal impact on the environment but this has not always been so. Tourist
activities in the Antarctic are on the increase and with it bring new conservation
concerns.
This review will attempt to discuss the ways Antarctic conservation and human
perception of environmental issues in the Antarctic has changed since the early 20th
century. Four main time periods with be focused on in this review. These are the “Heroic
Era’ of early exploration of Antarctica, the periods of extensive sealing and whaling in
the Southern Ocean, the current period of scientific research in Antarctica, and the
present and future periods of increased Antarctic tourism. The reasons conservation is
important in Antarctica and the risks Antarctic faces will also be discussed.",,,,,,,"http://hdl.handle.net/10092/13956",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Exploration, Exploitation, Science and Tourism: A review of how conservation of Antarctica has changed since the 1900's.",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
