id,collection,dc.contributor.author,dc.contributor.author[],dc.contributor.author[en],dc.contributor.editor[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en],dc.identifier.citation,dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher,dc.publisher[en],dc.rights.uri[],dc.rights.uri[en],dc.rights[en],dc.source.uri[],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject.marsden[en],dc.subject[en],dc.title,dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en],uc.bibnumber[en],uc.number[],uc.number[en],uc.publicationid[],uc.publicationid[en]
"9363","10092/5722","Jenkins, B.R.",,,,,"2013","The purpose of the Resource Management Act is to achieve sustainable management. However the development of alternatives is primarily the responsibility of applicants. In practice this usually leads to proposals that maximise the interests of applicants and result in adverse effects at the margins of acceptability. This paper describes the application of collaborative approaches to two controversial storage proposals in Canterbury – a dam on the Orari River and the Hurunui Water Project (a storage on the South Branch of the Hurunui River and control gates on Lake Sumner). Both processes led to the development of different alternatives which were superior in terms of sustainable management, lower impacts and greater community acceptance – respectively an off-river storage taking high flows from the Rangitata River, and, a series of storages on the Waitohi River, a tributary to the Hurunui.
The use of collaborative processes as an alternative to RMA processes to resolve issues was initially resisted by applicants. However there has been a high level of acceptance of the value of collaboration after innovative alternatives were developed. Some of the key learning outcomes from this approach include: the value of collaborative engagement with affected communities outside of adversarial RMA processes; the improvements in alternative generation from collaboration if affected communities can meaningfully participate in decisions on alternative selection; and, the limitations of RMA processes in achieving sustainable management.",,"Jenkins, B.R. (2013) The Development of Sustainable Alternatives to Applicants' Proposals Using Collaborative Approaches. Hamilton, New Zealand: New Zealand Planning Institute Annual Conference 2013 (NZP), 30 Apr-3 May 2013.",,,,"http://hdl.handle.net/10092/9112",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050209 - Natural Resource Management||Field of Research::04 - Earth Sciences::0406 - Physical Geography and Environmental Geoscience::040608 - Surfacewater Hydrology",,,,,"The Development of Sustainable Alternatives to Applicants' Proposals Using Collaborative Approaches","Conference Contributions - Other",,,,,"238830",,"12646433"
"6220","10092/5722","Lund, Peter.",,,,,"2011","E-books are increasingly common in academic libraries and e-book reading devices such as the Kindle and iPad are achieving huge sales for leisure readers. The authors undertook a small study at Loughborough University Library to explore areas in which a variety of e-book readers might be applied. Areas included: e-books on reading lists, PDFs of journal articles, inter-library loans supplied from the British Library and teaching support for Shakespeare studies. Whilst the e-readers did not offer sufficient advantages to merit integrating them into a service, the study proved useful in developing library expertise in the use of and support for e-readers.",,"Lund, P. (2011) E-readers: devices for passionate leisure readers or an empowering scholarly resource?. Wellington, New Zealand: LIANZA Conference 2011, 30 Oct-2 Nov 2011.",,,,"http://hdl.handle.net/10092/5750",,"en",,"University of Canterbury. Library",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::08 - Information and Computing Sciences::0807 - Library and Information Studies",,,,,"E-readers: devices for passionate leisure readers or an empowering scholarly resource?",,,,,,"238999",,"12634074"
"8638","10092/5722","Miles, B.||Dorahy, M.J.||Naswall, K.||Malinnn, S.||McNatty, G.",,,,,"2013","Scope of the Report
The evaluation of the Canterbury Support Line was structured around two central components:
1.	Determination of key practices in the delivery of psychosocial support via telephone helplines in the context of disasters.
2.	Critical examination of the operational practices of the Canterbury Support Line, including the processes of screening, triage, and assessment.",,"Miles, B., Dorahy, M.J., Naswall, K., Malinnn, S., McNatty, G. (2013) The Canterbury Support Line: A Review of the Literature and Evaluation of the Service.  Ministry of Social Development. 49pp..",,,,"http://hdl.handle.net/10092/8350",,"en",,"University of Canterbury. Management, Marketing, and Entrepreneurship||University of Canterbury. Psychology",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::16 - Studies in Human Society::1607 - Social Work::160702 - Counselling, Welfare and Community Services||Field of Research::16 - Studies in Human Society::1607 - Social Work::160703 - Social Program Evaluation",,,,,"The Canterbury Support Line: A Review of the Literature and Evaluation of the Service","Reports",,,,,"16701||238655||63148||230316||236492",,"12645664"
"12908","10092/5722","Heyne, M.||Derrick, D.",,,,,"2015","This paper builds on initial evidence of First 
Language influence on brass playing  presented  in 
Heyne and Derrick (2013) [13] by indicating how 
tongue positioning might affect trombone timbre. 
Ultrasound imaging of the tongue was used to 
compare vowel production and sustained trombone 
notes  for  three participants, one each  of New 
Zealand English, Tongan and Japanese, whose 
musical production was also analyzed acoustically. 
Comparison of the sound spectra produced by
two semiprofessional players shows that the  player 
using a higher, more retracted tongue position 
displays a  larger component of high frequencies in 
the  produced  sound spectrum. We believe that this 
could explain why brass players can notice 
differences between players from different language 
backgrounds.",,"Heyne, M., Derrick, D. (2015) The influence of tongue position on trombone sound: A likely area of language influence. Glasgow, UK: 18th International Congress of Phonetic Sciences (ICPhS 2015), 1-14 Aug 2015. Proceedings of the 18th International Congress of Phonetic Sciences (ICPhs 2015).",,,,"http://hdl.handle.net/10092/11122",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics::200404 - Laboratory Phonetics and Speech Science",,"laboratory phonology||phonetics||phonetics of music||ultrasound imaging of the tongue (UTI)||acoustic analysis",,,"The influence of tongue position on trombone sound: A likely area of language influence","Conference Contributions - Published",,,,,"239518",,"12656236"
"9362","10092/5722","Jenkins, B.||Henley, G.",,,,,"2013","Planning theory identifies a step-wise process for making decisions which typically include the following steps: define the problem, develop alternatives, evaluate alternatives, and make the decision. We are seeing the growth of multi-criteria decision making frameworks that can score different factors and weight different criteria to provide overall scores for alternatives to indicate a preferred decision. Legal processes have been developed with complex submission and submission-on-submissions procedures to inform independent commissioners of the variety of viewpoints that need to be considered in their deliberations on the merits of proposals.
However these technical and legal processes may not be the most effective decision making processes for the sustainable management of scarce resources involving multiple users. Ostrom has identified “collective choice arrangements” as one of the design principles for the management of common pool resources, such as water or fisheries.
This paper describes the decision making process for developing the Canterbury Water Management Strategy. This process was designed to be dynamic and collaborative with stakeholder and community engagement. The steps in the community engagement process defined the decision making process. This is not to say that the technical and legal processes were not followed, rather, they were subsidiary to the community engagement process.
The paper describes the activities associated with the seven milestones of the community engagement process:
(1) Release and announcement
(2) Definition of the process
(3) Identification of the breadth of uses and benefits
(4) Public reporting of uses and benefits
(5) Achievement of depth and sophistication of strategies and substrategies
(6) Public engagement on strategy options
(7) Implementation and update.
The community engagement process was successful in achieving widespread acceptance of the proposed strategy which is now being implemented.",,"Jenkins, B., Henley, G. (2013) Collaborative Management: Community Engagement Process as the Decision Making Process. Melbourne, Australia: Environment Institute of Australia and New Zealand 2013 Annual Conference (EIANZ), 23-24 Oct 2013.",,,,"http://hdl.handle.net/10092/9085",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::16 - Studies in Human Society::1605 - Policy and Administration::160507 - Environment Policy||Field of Research::12 - Built Environment and Design::1205 - Urban and Regional Planning::120504 - Land Use and Environmental Planning||Field of Research::07 - Agricultural and Veterinary Sciences::0799 - Other Agricultural and Veterinary Sciences::079901 - Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)||Field of Research::04 - Earth Sciences::0406 - Physical Geography and Environmental Geoscience::040608 - Surfacewater Hydrology",,"resource management decision making||collaborative community engagement processes||acceptance of strategic decisions",,,"Collaborative Management: Community Engagement Process as the Decision Making Process","Conference Contributions - Other",,,,,"238830",,"12646429"
"9361","10092/5722","Jenkins, B.R.",,,,,"2013","This paper reviews the progress to date of the Canterbury Water Management Strategy and identifies key developments and emerging issues. The paper examines the provision of storage, water use efficiency, environmental flow adjustments, nutrients from land use intensification, biodiversity enhancements and kaitiakitanga. The collaborative process has led to some more sustainable changes. One is the use of off-river storage and tributary storage as alternatives to mainstem storage. A second is improved environmental flow regimes by increasing minimum flows and reducing allocations at low flows; but enabling access to allocations at higher flows and providing time to adjust to new requirements.
The parallel achievement of reduced nitrate loads and increased irrigation areas is proving problematic. Water use efficiency is advancing on some fronts – piped distribution replacing canal distribution and ongoing conversions to spray irrigation – but not on others – soil moisture demand irrigation and reallocation of surface and groundwater use to enhance recharge. Biodiversity enhancements and incorporating kaitiakitanga in water management are showing positive progress.
Some of the key emerging issues include the allocation of nitrate capacity between existing and new users, and, the need for increased capacity for predictive modelling and field measurement to improve management of the use of scarce water and the cumulative effects of its use.",,"Jenkins, B.R. (2013) Progress of the Canterbury Water Management Strategy and some emerging issues. Lincoln University, Lincoln, New Zealand: New Zealand Agricultural and Resource Economics Society Conference 2013 (NZARES), 29-30 Aug 2013.",,,,"http://hdl.handle.net/10092/9084",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::04 - Earth Sciences::0406 - Physical Geography and Environmental Geoscience::040608 - Surfacewater Hydrology||Field of Research::07 - Agricultural and Veterinary Sciences::0799 - Other Agricultural and Veterinary Sciences::079901 - Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)||Field of Research::16 - Studies in Human Society::1699 - Other Studies in Human Society::169904 - Studies of Māori Society",,"water storage||water use efficiency||nutrient management||biodiversity||kaitiakitanga",,,"Progress of the Canterbury Water Management Strategy and some emerging issues",,,,,,"238830",,"12646423"
"9542","10092/5722","Jenkins, B.R.",,,,,"2013",,,"Jenkins, B.R. (2013) Managing Water Quantity at Allocation Limits. Wellington, New Zealand: 4th Annual Freshwater Management Forum 2013, 25-26 Feb 2013.",,,,"http://hdl.handle.net/10092/8798",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::04 - Earth Sciences::0406 - Physical Geography and Environmental Geoscience::040608 - Surfacewater Hydrology",,,,,"Managing Water Quantity at Allocation Limits","Conference Contributions - Other",,,,,"238830",,"12646428"
"8623","10092/5722","Nájera Aguilar, H.A.||Vázquez Sánchez, R.A.||Gutiérrez Hernanadez, R.F.||Bello Mendoza, R.||Rojas Valencia, M.N.",,,,,"2011","Mature leachates are a significant cause of soil and water contamination because they contain
high organic loads of recalcitrant materials. The application of a physicochemical process is normally
insufficient to remove the organic load from these liquids. The objective of the study was to evaluate
removal efficiencies in terms of Chemical Oxygen Demand in mature leachates from the Tuxtla
Gutierrez landfill applying a physicochemical Coagulation-Flocculation-Fenton system. In the first
stage, ferric chloride (FeCl₃) and ferrous sulfate (FeSO₄) coagulants were used at different doses (2.2, 2.6 and 2.8 g L⁻¹) and pH values (4, 5 and 6) in a 2 x 3 x 3 experimental arrangement. This effluent
was treated in a second stage (Fenton), testing several mass ratios, ranging from 1 to 3, of the oxidant
to the catalyst (H₂O₂/Fe²⁺), maintaining the constant catalyst dose (0.434 g L⁻¹ Fe²⁺). The tests were performed under a 3² factorial design at various pH values (2.5, 3.0 and 3.5) and H₂O₂ doses (300, 550 and 800 mg L⁻¹). The oxidation and flocculation stages were performed at 135 rpm for 80 min and at
20 rpm for 20 min, respectively. The highest COD removal (66%) in the coagulation-flocculation
process was obtained with 2.2 g L⁻¹ of FeCl₃ at pH = 6. With the best treatment Fenton reached 70% COD removal at pH 2.5 and 800 mg L⁻¹ of H₂O₂. The tests under this physicochemical system are the
first application to recalcitrant leachates in Mexico, reaching a 90% overall efficiency and improving
the biodegradability index by 64% from 0.14 to 0.23.",,"Nájera Aguilar, H.A., Vázquez Sánchez, R.A., Gutiérrez Hernanadez, R.F., Bello Mendoza, R., Rojas Valencia, M.N. (2011) Physicochemical treatment (coagulation-flocculation-Fenton) of mature leachates from Tuxtla Gutierrez, Chiapas landfill. Sustainable Environment Research, 21(5), pp. 313-319.",,,,"http://hdl.handle.net/10092/9133",,"en",,"University of Canterbury. Civil and Natural Resources Engineering",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050207 - Environmental Rehabilitation (excl. Bioremediation)||Field of Research::05 - Environmental Sciences::0503 - Soil Sciences::050304 - Soil Chemistry (excl. Carbon Sequestration Science)||Field of Research::09 - Engineering::0904 - Chemical Engineering::090409 - Wastewater Treatment Processes||Field of Research::03 - Chemical Sciences::0399 - Other Chemical Sciences::039901 - Environmental Chemistry (incl. Atmospheric Chemistry)",,"biodegradability||mature leachate||advanced oxidation process||physicochemical treatment",,,"Physicochemical treatment (coagulation-flocculation-Fenton) of mature leachates from Tuxtla Gutierrez, Chiapas landfill","Journal Articles",,,,,"240875",,"12645246"
"8615","10092/5722","Bridges, D.S.||McKubre-Jordens, M.",,,,,"2013","The Dirichlet problem is of central importance in both applied and
abstract potential theory. We prove the (perhaps surprising) result that the existence
of solutions in the general case is an essentially nonconstructive proposition: there
is no algorithm which will actually compute solutions for arbitrary domains and
boundary conditions. A corollary of our results is the nonexistence
of constructive
solutions to the NavierStokes
equations of fluid flow. But not all the news is
bad: we provide reasonable conditions, omitted in the classical theory but easily
satisfied, which ensure the computability of solutions.",,"Bridges, D.S., McKubre-Jordens, M. (2013) Solving the Dirichlet problem constructively. Journal of Logic and Analysis, 5(3), pp. 1-22.",,,,"http://hdl.handle.net/10092/9136",,"en",,"University of Canterbury. Mathematics and Statistics",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://dx.doi.org/10.4115/jla.2013.5.3","Field of Research::01 - Mathematical Sciences::0103 - Numerical and Computational Mathematics::010399 - Numerical and Computational Mathematics not elsewhere classified||Field of Research::02 - Physical Sciences::0203 - Classical Physics::020303 - Fluid Physics",,"constructive analysis||Dirichlet problem||Brouwerian example||Markov’s principle||omniscience principle",,,"Solving the Dirichlet problem constructively","Journal Articles",,,,,"30511||44499",,"12644282"
"8616","10092/5722","Johari, S.||Nock, V.||Alkaisi, M.M.||Wang, W.",,,,,"2013","The understanding of force interplays between an organism and its environment is imperative in biological
processes. Noticeably scarce from the study of C. elegans locomotion is the measurement of the nematode
locomotion forces together with other important locomotive metrics. To bridge the current gap, we
present the investigation of C. elegans muscular forces and locomotion metrics (speed, amplitude and
wavelength) in one single assay. This assay uses polydimethylsiloxane (PDMS) micropillars as force sensing
elements and, by variation of the pillar arrangement, introduces microstructure. To show the usefulness of
the assay, twelve wild-type C. elegans sample worms were tested to obtain a total of 4665 data points. The
experimental results lead to several key findings. These include: (1) maximum force is exerted when the
pillar is in contact with the middle part of the worm body, (2) C. elegans locomotion forces are highly
dependent on the structure of the surrounding environment, (3) the worms’ undulation frequency and
locomotion speed increases steadily from the narrow spacing of ‘honeycomb’ design to the wider spacing
of ‘lattice’ pillar arrangement, and (4) C. elegans maintained their natural sinusoidal movement in the
microstructured device, despite the existence of PDMS micropillars. The assay presented here focuses on
wild type C. elegans, but the method can be easily applied to its mutants and other organisms. In addition,
we also show that, by inverting the measurement device, worm locomotion behaviour can be studied in
various substrate environments normally unconducive to flexible pillar fabrication. The quantitative
measurements demonstrated in this work further improve the understanding of C. elegans mechanosensation
and locomotion.",,"Johari, S., Nock, V., Alkaisi, M.M., Wang, W. (2013) On-chip analysis of C. elegans muscular forces and locomotion patterns in microstructured environments. Lab on a Chip, 13(9), pp. 1699–1707.",,,,"http://hdl.handle.net/10092/9145",,"en",,"University of Canterbury. Electrical and Computer Engineering||University of Canterbury. Biomolecular Interaction Centre",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://dx.doi.org/10.1039/C3LC41403E","Field of Research::09 - Engineering::0903 - Biomedical Engineering::090302 - Biomechanical Engineering||Field of Research::06 - Biological Sciences::0608 - Zoology::060808 - Invertebrate Biology||Field of Research::09 - Engineering::0913 - Mechanical Engineering::091306 - Micro Electro-Mechanical Systems (MEMS)",,,,,"On-chip analysis of C. elegans muscular forces and locomotion patterns in microstructured environments","Journal Articles",,,,,"174609||44863",,"12644310"
"8621","10092/5722","Kam, W.Y.||Pampanin, S.||Elwood, K.",,,,,"2011","Six months after the 4 September 2010 Mw 7.1 Darfield (Canterbury) earthquake, a Mw 6.2 Christchurch (Lyttelton) aftershock struck Christchurch on the 22 February 2011. This earthquake was centred approximately 10km south-east of the Christchurch CBD at a shallow depth of 5km, resulting in intense seismic shaking within the Christchurch central business district (CBD). Unlike the 4 Sept earthquake when limited-to-moderate damage was observed in engineered reinforced concrete (RC) buildings [35], in the 22 February event a high number of RC Buildings in the Christchurch CBD (16.2 % out of 833) were severely damaged. There were 182 fatalities, 135 of which were the unfortunate consequences of the complete collapse of two mid-rise RC buildings.
This paper describes immediate observations of damage to RC buildings in the 22 February 2011 Christchurch earthquake. Some preliminary lessons are highlighted and discussed in light of the observed performance of the RC building stock. Damage statistics and typical damage patterns are presented for various configurations and lateral resisting systems. Data was collated predominantly from first-hand post-earthquake reconnaissance observations by the authors, complemented with detailed assessment of the structural drawings of critical buildings and the observed behaviour.
Overall, the 22 February 2011 Mw 6.2 Christchurch earthquake was a particularly severe test for both modern seismically-designed and existing non-ductile RC buildings. The sequence of earthquakes since the 4 Sept 2010, particularly the 22 Feb event has confirmed old lessons and brought to life new critical ones, highlighting some urgent action required to remedy structural deficiencies in both existing and “modern” buildings. Given the major social and economic impact of the earthquakes to a country with strong seismic engineering tradition, no doubt some aspects of the seismic design will be improved based on the lessons from Christchurch. The bar needs to and can be raised, starting with a strong endorsement of new damage-resisting, whilst cost-efficient, technologies as well as the strict enforcement, including financial incentives, of active policies for the seismic retrofit of existing buildings at a national scale.",,"Kam, W.Y., Pampanin, S., Elwood, K. (2011) Seismic Performance of Reinforced Concrete Buildings in the 22 February Christchurch (Lyttleton) Earthquake. Bulletin of the New Zealand Society of Earthquake Engineering, Special Issue, 44(4), pp. 239-279.",,,,"http://hdl.handle.net/10092/9006",,"en",,"University of Canterbury. Civil and Natural Resources Engineering",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://www.nzsee.org.nz/publications/nzsee-quarterly-bulletin/vol-41-50/","Field of Research::09 - Engineering::0905 - Civil Engineering::090504 - Earthquake Engineering||Field of Research::09 - Engineering::0905 - Civil Engineering::090506 - Structural Engineering",,,,,"Seismic Performance of Reinforced Concrete Buildings in the 22 February Christchurch (Lyttleton) Earthquake","Journal Articles",,,,,"70417",,"12645175"
"8620","10092/5722","Pampanin, S.",,,,,"2012","Earthquake Engineering is facing an extraordinarily challenging era, the ultimate target being set at increasingly higher levels by the demanding expectations of our modern society. The renewed challenge is to be able to provide low-cost, thus more widely affordable, high-seismic-performance structures capable of sustaining a design level earthquake with limited or negligible damage, minimum disruption of business (downtime) or, in more general terms, controllable socio-economical losses.
The Canterbury earthquakes sequence in 2010-2011 has represented a tough reality check, confirming the current mismatch between societal expectations over the reality of seismic performance of modern buildings. In general, albeit with some unfortunate exceptions, modern multi-storey buildings performed as expected from a technical point of view, in particular when considering the intensity of the shaking (higher than new code design) they were subjected to. As per capacity design principles, plastic hinges formed in discrete regions, allowing the buildings to sway and stand and people to evacuate. Nevertheless, in many cases, these buildings were deemed too expensive to be repaired and were consequently demolished.
Targeting life-safety is arguably not enough for our modern society, at least when dealing with new building construction. A paradigm shift towards damage-control design philosophy and technologies is urgently required.
This paper and the associated presentation will discuss motivations, issues and, more importantly, cost-effective engineering solutions to design buildings capable of sustaining low-level of damage and thus limited business interruption after a design level earthquake. Focus will be given to the extensive research and developments in jointed ductile connections based upon controlled rocking & dissipating mechanisms for either reinforced concrete and, more recently, laminated timber structures.
An overview of recent on-site applications of such systems, featuring some of the latest technical solutions developed in the laboratory and including proposals for the rebuild of Christchurch, will be provided as successful examples of practical implementation of performance-based seismic design theory and technology.",,"Pampanin, S. (2012) Reality-check and renewed challenges in earthquake engineering: Implementing low-damage structural systems - from theory to practice. Bulletin of the New Zealand Society for Earthquake Engineering, 45(4), pp. 137-160.",,,,"http://hdl.handle.net/10092/9007",,"en",,"University of Canterbury. Civil and Natural Resources Engineering",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::09 - Engineering::0905 - Civil Engineering::090504 - Earthquake Engineering",,"performance-based design||low-damage seismic design||damage control||Canterbury earthquake",,,"Reality-check and renewed challenges in earthquake engineering: Implementing low-damage structural systems - from theory to practice","Journal Articles",,,,,"70417",,"12645172"
"8618","10092/5722","Chen, Z.||Cave, K. R.",,,,,"2013",,,"Chen, Z., and Cave, K. R. (2013) Perceptual load vs. dilution: the role of attentional focus, stimulus category, and target predictability. Frontiers in Psychology, 4:327, pp. 1-14.",,,,"http://hdl.handle.net/10092/9090",,"en",,"University of Canterbury. Psychology",,"http://library.canterbury.ac.nz/ir/rights.shtml","This Document is Protected by copyright and was first published by Frontiers. All rights reserved. It is reproduced with permission",,"http://dx.doi.org/10.3389/fpsyg.2013.00327","Field of Research::17 - Psychology and Cognitive Sciences::1701 - Psychology::170112 - Sensory Processes, Perception and Performance",,"selective attention||distractor interference||perceptual load||dilution||ttentional focus",,,"Perceptual load vs. dilution: the role of attentional focus, stimulus category, and target predictability","Journal Articles",,,,,"52337",,"12645144"
"11039","10092/5722","Hussain, H.",,,,,"2013","This paper presents an example of how complexity thinking was used to foster a local curriculum related to games of chase at an EC setting.  It shows how activities, teaching and children’s learning interacted in an on-going and mutually-beneficial way.  These interactions enabled the emergence of a new game, and enhanced a teacher’s and children’s thinking/learning in and about games of chase. 
 
Complexity thinking is a way of thinking and acting that assumes we live in a complex world (Davis & Sumara, 2006) where inter-connections abound and they affect us in visible and invisible ways.  To use complexity thinking in teaching and learning means to firstly, be conscious of the mutually-influencing (coupled) connections which exist/can exist in our setting; and secondly, focus our teaching on expanding possibilities in activities, teaching and learning in ways that are ethical, logical and meaningful for individuals and collectives/groups.
 
The research was conducted at an early childhood centre in Christchurch with mainly three- and four-year old children.  I took on the role of teacher, researcher and curriculum designer for 14 weeks and collected multiple types of data, including video and audio data, fieldnotes, photographs and learning stories.  I used the data to create on-going stories about children’s learning, my teaching and the activities the children and I engaged in; this approach enabled ongoing data, knowledge and emergent opportunities to be incorporated into the research process.  
This research generated two innovations that enhanced my thinking-practice as a teacher.  The first was a curriculum content framework for teachers and children to collaboratively explore games of chase and co-create new games.  The second was a framework for curriculum decision-making which focuses on fostering new learning, activities and teaching ideas and strategies.

By enacting the two frameworks in a coupled way, the children and I were able to co-create variations of several games of chase, as well as to occasion a new one.  The children also (1) learnt to distinguish between players and non-players in a shared play area, (2) learnt to tag in different ways, (3) experienced the nature of games and (4) contributed to different game designs.",,"Hussain, H. (2013) Using complexity thinking to foster a games of chase curriculum in a New Zealand early childhood setting. Singapore: Redesigning Pedagogy Conference 2013, 3-5 Jun 2013.",,,,"http://hdl.handle.net/10092/9912",,"en",,"University of Canterbury. Early Years Care and Education",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::13 - Education::1301 - Education Systems::130102 - Early Childhood Education (excl. Māori)||Field of Research::13 - Education::1302 - Curriculum and Pedagogy::130210 - Physical Education and Development Curriculum and Pedagogy",,,,,"Using complexity thinking to foster a games of chase curriculum in a New Zealand early childhood setting","Conference Contributions - Other",,,,,"177047",,"12645121"
"12224","10092/5722","Shaw, J.||Wei-rong, C.||Proctor, M.I.||Derrick, D.||Dakhoul, E.",,,,,"2014","We studied tone-vowel coproduction using Electromagnetic
Articulography (EMA). Fleshpoints on the tongue and jaw
were tracked while native Chinese speakers (n = 6) produced
three vowels, /a/, /i/, /u/, combined with four Chinese tones.
We found differences in tongue position across tones for /a/
and for /i/ but not for /u/. The low and rising tones patterned
together in conditioning lower tongue blade (TB) position for
/a/ and a higher TB position for /i/. This pattern suggests a
degree of inter-dependence between tonal and vocalic targets.
The effect of tone on TB height was mediated by jaw
movement such that, even as TB sensor position varied across
tones, the Euclidean distance between TB and Jaw sensors
within each vowel remained stable. Thus, for this set of
Chinese vowels, there is a relational invariance between
active articulators, tongue and jaw. When viewed in terms of
this relation, vowel and tonal targets appear to be completely
independent.",,"Shaw, J., Wei-rong, C., Proctor, M.I., Derrick, D., Dakhoul, E. (2014) On the inter-dependence of tonal and vocalic production goals in Chinese. Cologne, Germany: 10th International Seminar on Speech Production (ISSP 2014), 5-8 May 2014. Proceedings..",,,,"http://hdl.handle.net/10092/10663",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics::200404 - Laboratory Phonetics and Speech Science||Field of Research::20 - Language, Communication and Culture::2003 - Language Studies::200311 - Chinese Languages",,"tones||vowels||speech production models||Chinese||EMA||coarticulation",,,"On the inter-dependence of tonal and vocalic production goals in Chinese",,,,,,"239518",,"12654388"
"12907","10092/5722","Webster-Brown, J.G.||Hawes, I.",,,,,"2015","Vanda Station was built beside Lake Vanda in the Wright Valley, Victoria Land in 1968. It was occupied every summer field season, and occasionally over winter. In 1993 it was removed when the rising level of Lake Vanda threatened to flood the site. Vanda Station’s lifetime spanned a period of transition from little concern over environmental impacts in the Dry Valleys, to the beginning of the stringent code of conduct that is in place today. The legacy of environmental consequences can now provide unique insights into the lasting impacts of this mode of human activity on the Antarctic environment, and the ability of time, environmental change and human endeavour to remediate or amplify those effects.
The assessment of environmental impacts began just prior to the removal of the station in which specific sites of soil contamination, including an an area of routine greywater disposal in a gully beside the main buildings were identified. A second assessment was undertaken in 1997, on the partially remediated but still unflooded site, which identified discrete areas of residual chemical contamination particularly in “Greywater Gully”. The lake level has continued to rise and now, just over 20 years after its remediation, the station site has almost completely flooded. “Greywater Gully” is now under 3 - 4m of lake water. In December 2014 we resampled and reanalysed these lake waters, flooded sediments and the few remaining exposed contaminated soils, to determine whether or not, the legacy of Vanda Station includes a lasting impact on its environment.",,"Webster-Brown, J.G., Hawes, I. (2015) A history of the environmental impact of NZ’s only mainland base: Vanda Station. Christchurch, New Zealand: 2015 Antarctic Science Conference, 28 Jun-2nd Jul 2015. p 28.",,,,"http://hdl.handle.net/10092/11123",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050204 - Environmental Impact Assessment",,,,,"A history of the environmental impact of NZ’s only mainland base: Vanda Station","Conference Contributions - Other",,,,,"68024",,"12655541"
"11995","10092/5722","Johny, J.P.||David, T.",,,,,"2013","The occlusion of arteries during ischeamia causes
a state of insufficient blood supply and hypoperfusion in downstream
to keep the brain functioning. Hypoperfusion in human
brain is a critical event which leads to cerebral hypoxia with
high risk of developing impairment. Vasomotion can be induced
in the above situation of reduced perfusion. This might increase
the blood flow by decreasing the effective vascular resistance
and lead to enhanced perfusion. Therefore, one could assume
that vasomotion is a regulating mechanism associated with
hypoperfusion to control vascular resistance, blood flow and tissue
perfusion. It is therefore important to explore the underlying
mechanisms and the factors affecting the initiation and spread
of vasomotion. In future, this study will help the early diagnosis
and treatment of previously mentioned pathological conditions.
This study analyses the minimum condition required to initiate
vasomotion. It is shown that a minimum number of cells need to
be stimulated with sufficient amount of depolarization to initiate
conduction of contraction.",,"Johny, J.P., David, T. (2013) A numerical study into minimal conditions of arterial vasomotion. Thrissur, India: Proceedings of World Congress on Research and Innovations (WCRI 2K13), July 2013.",,,,"http://hdl.handle.net/10092/10508",,"en",,"University of Canterbury. BlueFern Super Computer",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::11 - Medical and Health Sciences::1102 - Cardiovascular Medicine and Haematology::110202 - Haematology",,,,,"A numerical study into minimal conditions of arterial vasomotion","Conference Contributions - Published",,,,,"67734",,"12654152"
